file	raw_width	raw_height	display_width	display_height	exif_orientation	brightness	center_brightness	contrast	sharpness	underexposed_pct	overexposed_pct	flags
2605-07-Wattrel.jpg	4080	3072	3072	4080	6	56.37	58.25	48.68	21.7	17.94	0.01	
2606-07-Wattrel.jpg	4080	3072	3072	4080	6	56.13	58.24	47.81	21.23	17.05	0.01	
2701-07-Cetitan.jpg	4080	3072	3072	4080	6	63.79	60.19	47.92	24.21	12.12	0.0	
2702-07-Cetitan.jpg	4080	3072	3072	4080	6	60.29	58.33	48.04	23.81	14.58	0.0	
2703-07-Cetitan.jpg	4080	3072	3072	4080	6	54.93	54.93	46.33	28.09	18.3	0.06	
2704-07-Cetitan.jpg	4080	3072	3072	4080	6	59.1	56.77	47.24	28.03	15.84	0.03	
2705-07-Cetitan.jpg	4080	3072	3072	4080	6	68.26	64.08	48.49	26.01	8.99	0.0	
2801-07-Tatsugiri.jpg	4080	3072	3072	4080	6	57.97	59.74	48.11	22.19	15.54	0.03	
2802-07-Tatsugiri.jpg	4080	3072	3072	4080	6	57.25	58.4	47.38	25.6	16.22	0.01	
2803-07-Tatsugiri.jpg	4080	3072	3072	4080	6	58.38	60.39	47.57	31.22	15.7	0.07	
2804-07-Tatsugiri.jpg	4080	3072	3072	4080	6	62.91	63.72	48.19	26.88	11.82	0.12	
2805-07-Tatsugiri.jpg	4080	3072	3072	4080	6	56.02	57.68	47.04	23.92	17.11	0.02	
